Heading,Content
Phone and video consultations ,"Northeastern students can schedule remote appointments by phone and/or online video calls with UHCS medical and mental health providers. To schedule a remote consultation, call UHCS at 617.373.2772 and speak with a Patient Associate or leave a message. A clinician will then call you back to conduct a brief assessment and make recommendations for care. If appropriate, the clinician will send you an invitation for a video visit. This invitation will include a link to a HIPPA-compliant video communication platform for the visit.UHCS makes every attempt to maintain confidentiality while engaging in phone and video consultations.  To maintain confidentiality and call quality, it is important that you: Locate a private space for the call with limited background noise and free of distractions. Use a secure internet connection rather than public/free WiFi. Make a plan with your provider in advance in case someone else enters your private location during the call. Prepare to share your location and the best phone number to reach you, in case the connection is lost or you need local emergency services. Do not record your session. Your provider will review confidentiality at the beginning of your call. Please share any questions or concerns at that time. "
Request a release of your information,"If you would like UHCS to share your health records or communicate any information about your care, you must first complete a Release of Medical Records form. This form acknowledges that you give UHCS permission to release your information to the identified party (i.e., another health care provider, a parent, a staff member at Northeastern)."
How do I submit my form?,"Email it to: UHCS@Northeastern.edu Fax it to: 617-373-2601 (Please include a cover sheet) Please allow AT LEAST TWO (2) WEEKS to process the request. While we make every attempt to keep your emails private, please note that email is not considered a confidential form of communication since it could be intercepted in transmission or misdirected (see Confidentiality and Email, below). For this reason, faxing your form is the preferred method of submitting requests."
Ongoing communications with an identified party,Release of Medical Records form must contain the date or date range for which records are being requested. The requested date or date range may not extend past the date on which the request is signed.Please note that UHCS provides two different release formsto release records from UHCSto release records to UHCSStudents at times request to sign a “blanket authorization” allowing a medical or mental health provider the ability to speak with someone such a parent or an advisor on an ongoing basis about their treatment. Federal law prohibits us from fulfilling such requests; UHCS providers can instead work directly with the student to complete a Release of Medical Records form that specifically identifies the type of information to be shared and reflecting a specific date of treatment.
Confidentiality and Billing,"While the majority of services at UHCS are covered by the student health fee, some services are billed to the student’s insurance. These services including blood work, testing, etc. In such cases, we do release information to your insurance company according to any agreements you have signed when accepting your insurance plan."
Confidentiality and Title IX,UHCS staff provide confidential support and services to those affected by sexual violence. This means that they are NOT required to report to the University’s Title IX Coordinator  any information disclosed about an incident of Prohibited Conduct. Confidential resources are also available at through OPEN staff at OPEN’s Sexual Violence Resource Center and the spiritual advisors at the Center for Spirituality Dialogue and Service.
Confidentiality and Email,"Please be aware that email communication is not considered confidential as it can be intercepted in transmission or misdirected. Rather than emailing a provider, please communicate any sensitive information by telephone. Also, please note that any email communication sent to a provider may become part of the student’s medical record.Please do not email UHCS about matters needing urgent attention. The UHCS email mailbox is not consistently monitored."
Hours of Operation,
Contact Us,"Call Us617-373-2772Option #1: Hours and Contact InformationOption #2: VisitsOption #3: Immunizations, Health Reports, and Health Center HoldsOption #4: Medical Leave of AbsenceOption #5: ReferralsTTYContact UHCS via Relay 711Fax617-373-2601Visit70 Forsyth Street in the Forsyth Building, Suite 135. View us on the Campus Map #55Email UsUHCS@northeastern.edu – This email address is used for general questions, immunizations, presentation requests or health center holds.* immunizations@northeastern.edu – Please use this email address for submission of the University Health Report, proof of influenza vaccination and questions regarding vaccinations.*MLOA@northeastern.edu – This email address is for inquiries about Medical Leave or Re-entry and will be reviewed by the UHCS Medical Leave Team.*NUSHP@northeastern.edu – The Northeastern University Student Health Plan (NUSHP) has a dedicated email address. If you have questions about NUSHP, please contact the Plan Manger with this email address.**Email is not constantly monitored and cannot be used to report an emergency.  Email should not be used to share confidential information or to request an appointment. If you are having an emergency, please call Northeastern University Police Department 617-373-3333 or 911."
After Hours Care,"When UHCS is closed, please visit a local urgent care or emergency department for immediate concerns. To learn about local urgent care facilities visit the Medical Visits at UHCS or the Mental Health Visits at UHCS page.More about After Hours Care"
Social Media,   Instagram  
Quick Links,   Contact Us  After Hours Care  Emergencies  OPEN’s Sexual Violence Resource Center  NUSHP  
Northeastern University Student Health Plan (NUSHP) ,Phone: 617-373-8007Fax: 617-373-7340Email: NUSHP@northeastern.eduWebsite: northeastern.edu/nushp
After Hours Care,
Find@Northeastern," Find@Northeastern is your 24/7 immediate access connection to the mental health support and resources you need to feel better on the path ahead. With just one call, wherever you are in our  community, you’ll reach someone to listen, respond, and be there to help.  Find@Northeastern  at 877.233.9477  (U.S.), 855-229-8797 (Canada), +1.781.457.7777 (International),  24-hours a day, seven days a week. Learn More"
Blue Cross Blue Shield Well Connection & Nurse line,"Students who have the Northeastern University Student Health Plan (NUSHP) can access live virtual clinical visits through Well Connection. This service provides licensed doctors and clinicians for minor medical and behavioral health care using their preferred device (cell phone, laptop, tablet, etc.).  Students who have NUSHP can also access a nurse 24 hours a day.  "
Lean on Me,Lean On Me is a peer-to-peer text hotline that allows for easy access to confidential non-crisis support. Students can text 617-202-2948 at any time for emotional support from another Northeastern student. 617-202-2948 lean0n.me/northeastern 
Boston Area Urgent Care,"When UHCS is closed, please visit a local urgent care or emergency department for immediate concerns.Below is a list of local Urgent Care sites to consider.Massachusetts General HospitalUrgent Care – Brookline 1285 Beacon Street Brookline, MA 02446Phone: 617-751-6205  Open every day 9am-9pmWalk-in appointments OR schedule an appointment online in advanceGetting there: Green Line “C” branch to Coolidge Corner T stopUrgent Care – Boston Common137 Stuart Street, Suite A-7Boston, MA 02116 (Inside City Place, next to Dunkin Donuts)Phone: 617-393-5059Open every day 9am-9pmWalk-in appointment or schedule an appointment online in advanceGetting there: Two blocks from Boylston T stop (Green Line), three blocks from Chinatown T stop (Orange Line)"
National Mental Health Hotlines," 988 Suicide and Crisis Lifeline988 serves as a universal entry point so that no matter where you live in the United States, you can reach a trained crisis counselor who can help. If you or someone you know is struggling or in crisis, help is available. Call or text 988 or chat 988lifeline.org Samaritans Crisis Hotline  877-870-HOPE (4673)   Trained volunteers are available 24 hours a day 7 days a week to provide support and assistance. http://www.samaritanshope.org  Crisis Text Line 741741 Provides free, 24/7 emotional support via text.   Text 741741 when you are in crisis/need to talk. A live, trained counselor  will respond promptly and be available to provider support and assistance.  www.crisistextline.org "
Social Media,   Instagram  
Quick Links,   Contact Us  After Hours Care  Emergencies  OPEN’s Sexual Violence Resource Center  NUSHP  
Lab Charges,
Things to consider – health insurance charges,
" How much do medical and mental health labs, imaging and medication cost?"," Medication, Labs, and Imaging are charged through your insurance and often have copays that will be charged to you. To find out the estimated cost of medications, labs, imaging, or visits with a specialist please contact your insurance provider or visit their website for an estimate. If you are covered by the Northeastern University Student Health Plan – NUSHP, a BlueCross BlueShield PPO plan, you can log into your MyBlue account and select “find a doc and estimate cost”. This will allow you to find an estimate of cost or the student can contact member services (888-648-0825). To learn more about the MyBlue app click here.  If you are covered by a different insurance company, we recommend that you call to confirm they accept Baystate Reference Laboratories as a provider.  Vaccinations: UHCS offers Tdap, Hep B, MMR, Varicella, Meningococcal ACWY, Meningococcal B, HPV and Influenza vaccines.  Influenza vaccines are free of cost for all students.  Students who are enrolled in NUSHP can receive vaccinations at no cost.  If you are on an alternative insurance plan, you will be charged the full cost of the vaccine and can submit it to your insurance company for reimbursement (which may cover the full or part of the cost of the vaccine). You can also seek vaccination at a local pharmacy that accepts your insurance to avoid having to pay up front for the cost of the vaccine.  Vaccine costs (per dose): Tdap $62, Hep B $108, MMR $115, Varicella $226, Meningococcal vaccine (Menactra) $164, Meningitis B $210, HPV $255 and Quant Gold $55.   Titers for Hepatitis B, Varicella, Measles, Mumps, and Rubella can be tested at UHCS. Please schedule an appointment prior to coming to UHCS. If you have orders from an outside medical provider, please bring them with you at the time of the appointment. If you require Titers for employment/co-op (non-medical reasons), the charge is $25 per titer. Sexually Transmitted Infection (STI) testing can be charged through insurance or you can opt to self-pay to protect your privacy from your insurance policy holder (often a parent). If you would like to self-pay: Gonorrhea and Chlamydia are tested together and cost $25. HIV Testing costs $25. Syphilis Testing costs $25. You will be asked to pay at the time of your lab draw. You can also seek testing at local clinics in Boston that offer free STI testing. "
How do I self-pay for STI testing?,"Students who choose to self-pay can do so with a major credit card, debit card, or non-food related Husky dollars. Payment must be made prior to testing."
Explanation of Benefits – EOB,"When someone receives services using insurance, the insurance company sends an Explanation of Benefits (EOB) statement that explains which services were used and paid for.  The EOB is typically sent to the person who subscribes to the insurance plan. If your parent is the subscriber, they may be sent the EOB. You can, however, contact the insurance company to request that the EOB for services that you use be sent to you. The subscriber will not be able to access your records or any other information about your sessions. If you have insurance through Northeastern (NUSHP), please make sure that the address listed on the plan is up to date so that EOBs will be sent to your current address.  Learn more about the PATCH Act here."
The Massachusetts Patch Act ,"The Protect Access to Confidential Healthcare (PATCH) Act allows you to choose how and where your health insurance company sends your summary of payment (SOP), an explanation of services sent from your insurance company after your healthcare visit.Contact your health insurance provider to learn more about where your explanation of benefits (EOB) is sent and to update your address."
Social Media,   Instagram  
Quick Links,   Contact Us  After Hours Care  Emergencies  OPEN’s Sexual Violence Resource Center  NUSHP  
What to Expect – Medical,
What to expect of your medical visit with UHCS,"Medical services are available for in person and limited telehealth visits. Students outside of Massachusetts are encouraged to reach out to their primary care or local medical provider.Should you or someone you know have a medical or mental health emergency, please call NUPD at 617.373.3333 (or 911 off-campus) or go to your nearest Emergency Department."
Social Media,   Instagram  
Quick Links,   Contact Us  After Hours Care  Emergencies  OPEN’s Sexual Violence Resource Center  NUSHP  
How to have a medical visit at UHCS,"Walk-in for medical visits are not available at this time. To arrange a visit at UHCS call us at 617-373-2772.When you call to request to meet with a clinician, a patient associate may ask you about the reason for  your visit. These questions are asked so that you can be scheduled for the appropriate type of visit. The information you provide is confidential."
What do I need before my first medical visit?,"All students should log in to the student hub to make sure your cell phone number and current local address are up to date. This information will be needed if the clinician determines you need prescriptions, labs, or referrals. Log in to Student HubResourcesMiscellaneousCurrent address (Please note this should be your local address in Boston and local cell phone number)Home address should be listed under the “Permanent Address” dropdown. For in-person visits: Please arrive 10 minutes prior to your scheduled appointment, bring your NUID and your health insurance card. You can check-in for an appointment, with the kiosks, which are located on the right hand side of the reception area. Use your Northeastern username and password to check-in on the tablet. You For telehealth visits: Please be available at the scheduled time to receive a call from the mental health clinician. It is important to be in a quiet, private space that is free of distractions during the visit. If meeting with the clinician via video call, it is important that you use a secure internet connection rather than public/free Wi-Fi. Limited telehealth visits are available at this time. "
What if I need to change or cancel my appointment?,"If you need to cancel or change your appointment, you must notify UHCS in advance. Call UHCS 617-373-2772. "
What happens after I schedule a telehealth visit?,"You will receive an email to your Outlook Account at the time the appointment is created and again 15 minutes before the start of the appointment. Please check your SPAM folder if it is not in your inbox. The message will appear as below:If there is no box saying, “Start Televisit,” check the top of the email you may need to do one of the following: expand the message, click to view the message in a browser, download pictures, or unblock content blocked by Outlook. If you have not received this email, can’t find it, or have any other issues, contact your clinician or the front desk as soon as possible"
How do I find a private quiet place on campus for my telehealth visit? ,"The university has identified a variety of quiet spaces where students can study and have private conversations. If you have an appointment with UHCS and would like to find a private space, please review the study spaces website to see availability."
What happens during my medical visit?,"In person: A medical assistant will get you from the reception area and bring you back to an exam room. They will review your information, begin the medical assessment which may include blood pressure, temperature, review of current physical concerns. Via telehealth: Limited telehealth visits are available at this time. After logging in, a medical clinician will join you shortly after the start of the appointment. A medical clinician (Nurse Practitioner or Physician) will join you on the phone or video and inquire about the reason for your visit. Inform the clinician of your medical history including previous illness, hospitalizations, and medication. Please be open with your clinician so that they can effectively assess your concerns.The clinician will discuss your symptoms, concerns and talk with you about your diagnosis, assessment, and prognosis to the extent that it is known. They will offer you a plan for treating the issue and make recommendations for follow-up care. These recommendations may include an invitation to come meet with a clinician in person at UHCS, a referral to off-site services for further assessment or ongoing care, or at home treatment. The clinician will also share with you information pertaining to the risks, common and serious side effects, and potential benefits of accepting or declining a recommended treatment."
What if I need lab work done?,"If laboratory tests are recommended by your clinician, you will be directed to the UHCS lab drawing station with a requisition slip for your tests. The lab technician will explain the lab drawing procedure.Please be aware that you may be charged for lab tests. You should refer to your health insurance plan information for coverage of lab tests. Please make sure to tell the front desk staff your insurance number when you check in. If you do not, unfortunately Baystate Laboratory will bill you directly for the labs as they will not have your insurance information to properly process the claim.Information about payment options for STI testing can be found on our website."
How do I access my lab results online?  ,You can access your labs online.Log into the Student Hub Click on “Resources” Scroll down to “My Links” Select “Health and Wellness” Select “Select My Health Center” This will open up the UHCS patient portal: Enter your log-in credentials using your myNortheastern username without @northeastern.edu. Once logged-in this is where you can view your labs by selecting the “Medical Records” tab on the left.
Is my treatment confidential?,All services at UHCS are confidential. No information will be shared with anyone outside of UHCS without your consent. You may review more information about confidentiality and release of medical information here.
Does UHCS provide sick notes?,"UHCS does not provide sick notes. In accordance with the university catalog, students cannot be required to provide medical documentation."
What else do I need to know?,"We want you to be an active participant in your care at UHCS. We aim to provide information about your care, concerns, and treatment to you in clear and understandable language. Please ask questions if you do not understand information provided.Translation services are available upon request."
Sexual Health at UHCS,
SEXUAL HEALTH INFORMATION ,"Appointments are available to be scheduled for sexual health concerns. Call to arrange a visit time 617.373.2772, option #2. UHCS clinicians are licensed to provide care only to students physically in Massachusetts at the time of their clinic or telehealth appointment.Examples of sexual health visits provided at UHCS include: Pelvic Exams and Cervical Cancer screening (Pap Test) Contraceptive (birth control) counseling and prescriptions Testing and treatment for sexually transmitted infections HIV pre-exposure prophylaxis – PREP Sexual assault Emergency contraception – Plan B Pregnancy options counseling For more information about After Hours Care options click here and for a list of emergency resources in Boston click here. "
"PREGNANCY INFORMATION, COUNSELING AND OPTIONS ","Your choice to continue or end a pregnancy is just that… Your Choice. You can choose parenting, abortion, and adoption. Schedule an appointment at UHCS to speak with a clinician about your options. If safe and comfortable, we encourage you to seek support from partners, friends, family, and university or community resources. Keep in mind, you are the only one who can decide what is best for you. At UHCS we can discuss your options. We refer to local community clinics for medical and procedural abortions.If you are considering continuing your pregnancy some things to keep in mind: Avoid alcohol, recreational drugs, over the counter medications (aside from Tylenol). Eat healthy, give your body the sleep it needs, and stay hydrated. Start a prenatal vitamin with at least 400 mcg of folic acid (available over the counter)."
Abortion Options,
Pregnancy Options,
SEXUALLY TRANSMITTED INFECTIONS (STIs),"At UHCS, we provide STI testing for asymptomatic screening, persons with symptoms, or persons with a recent known exposure. Schedule a visit with a UHCS clinician or visit the CDC site or OPEN site to learn what tests may be best for you. Chlamydia and Gonorrhea (urine sample, vaginal, throat, or anal swabs) HIV (blood test) Syphilis (blood test) Hepatitis C and Hepatitis B (blood tests) Herpes (HSV) (lesion swab) HPV (Screened as part of Abnormal Paps) – *Call UHCS to schedule your HPV Vaccine.If you are symptomatic, your partner recently tested positive for an STI, or you have concerns you would like to discuss in person with a medical clinician, please schedule an on site appointment (call 617.373.2772). If you have no symptoms or concerns, you have two options: (1) a telehealth visit to review your medical history followed by a lab only visit at UHCS. (2) A lab only visit at UHCS (no visit with a provider). At the Lab only visit, you will be asked to fill out a form to share your medical history and indicate which testing you want performed."
SEXUAL VIOLENCE,"If you are a victim of sexual assault, please seek help. UHCS offers medical and mental health support. OPEN’s Sexual Violence Resource Center (SVRC) also offers confidential support to Northeastern students. At your medical visit at UHCS, a provider will discuss your options for evaluation and management, some of which are time sensitive. Please call UHCS to discuss your options. Learn more about CONSENT from the Office for Prevention and Education at NortheasternIf you would like to self-pay: Gonorrhea and Chlamydia are tested together and cost $25. HIV Testing costs $25. Syphilis Testing costs $25. Payment must be made prior to testing. UHCS accepts major credit cards, debit cards and non-food related Husky dollars.To learn more about consent, sexual health and relationships visit the OPEN website.  You can also seek testing at local clinics in Boston that offer free STI testing."
Local STI Testing Sites,      
COST of STI Testing ,"STI testing is fully covered by most insurances but not all. NUSHP (Northeastern University Student Health Plan) fully covers the cost of STI testing and no bill is sent home (the testing is fully confidential). If you are unsure about your insurance coverage, please call your insurance company to verify potential costs. You can also request your insurance company mail any bill or explanation of benefits to your personal address (rather than your parents address). Insurance companies in the state of MA must comply with this request per the PATCH Act. An alternative option for confidential testing is to “Self Pay”. The cost of Gonorrhea and Chlamydia testing is $25 (per site tested; i.e. urine, pharyngeal, rectal). The cost of HIV and Syphilis testing are $25 each. If you Self Pay, SHOW YOUR RECEIPT TO THE BAYSTATE PHLEBOTOMIST; this ensures that Baystate knows not to bill your insurance. You can also seek testing at local clinics in Boston that offer free and confidential STI testing, such as MGH Sexual Health Clinic (617.726.2748)."
TREATMENT,"If you test positive for a sexually transmitted infection, please call UHCS to schedule an appointment to discuss treatment and management. Practice abstinence (no sex) until you are treated. Please notify sexual partners you have had within the past 60 days so that they can be tested and treated. You can let them know anonymously with TellYourPartner.org. If your partner does not have access to health insurance, you can book an appointment for yourself at UHCS and our providers can prescribe “Expedited Partner Therapy” for your partner in some cases. Condoms are an important part of decreasing exposure to sexually transmitted infections."
PrEP ,"If you are considering HIV Pre Exposure Prophylaxis, schedule an appointment at UHCS to discuss your options. PrEP is one pill, taken once a day, to decrease your chance of becoming infected with HIV. We will obtain baseline labs to check for HIV, other STI’s, and your kidney function. Your labs will result within a couple days and once reviewed by a clinician, you can start taking your PrEP medication. We will check in at one month to see how you are tolerating the medication. After that, you will have a visit at UHCS every three months to check labs and refill your prescription. NUSHP covers the cost of PrEP with no copay. For other For PrEP prescriptions online: Nurx, Mistr"
CONTRACEPTION,"Schedule an appointment to discuss all options for contraception. At UHCS, we prescribe emergency contraception, the birth control pill, patch, ring, gel, and shots. We refer to local Ob GYN clinics for insertion of IUDs and Nexplanons. Because of the Affordable Care Act, most insurance plans must cover one option of each birth control method with no copay. Your visit to discuss contraception can be via telehealth, but we do ask that you come on site before starting birth control to check your blood pressure and confirm you have a negative pregnancy test.Online options for a birth control prescription (ideal for students out of state): Nurx, Favor, Wisp, Lemonaid, Hers, Emme, Pandia HealthLocal ObGYN Clinics: Mass General Hospital, Brigham and Women’s, Beth Israel Deaconess, Tufts, Boston Medical Center, Saint Elizabeth’sFrisky Husky program delivers free external condoms, internal condoms, oral dams, and water-based lubricant right to your on-campus mailbox."
Social Media,   Instagram  
Quick Links,   Contact Us  After Hours Care  Emergencies  OPEN’s Sexual Violence Resource Center  NUSHP  
Primary Care,
Social Media,   Instagram  
Quick Links,   Contact Us  After Hours Care  Emergencies  OPEN’s Sexual Violence Resource Center  NUSHP  
Safe Sharps Disposal,
Social Media,   Instagram  
Quick Links,   Contact Us  After Hours Care  Emergencies  OPEN’s Sexual Violence Resource Center  NUSHP  
Allergy Care Resources,
Resources for Allergy Assessment and Treatment in the Boston Area ,Northeastern University students may be assessed and treated for allergies at any of a number of local allergy clinics and practices. UHCS recommends that you begin the enrollment process now in order to allow time for the transition of your allergy care.In order to prepare for your community allergy practice evaluation and treatment please note the following:
Social Media,   Instagram  
Quick Links,   Contact Us  After Hours Care  Emergencies  OPEN’s Sexual Violence Resource Center  NUSHP  
1. Check your health plan coverage,"A referral is usually required from your primary care provider both for clinical and insurance coverage purposes. Be aware of your health plan’s provider eligibility, covered services, co-payment and deductible requirements. "
2. Check with your primary care provider (PCP) ,Your PCP may need advance notice to make a referral and may want to see you for checkup. All full-time Massachusetts college students are required by law to have comparable health insurance coverage. Please review the comprehensive and student-centered advantages of the Northeastern University Student Health Plan (NUSHP). 
3. Contact your allergist ,You will need to complete and send a release of information form to your current allergist in order to have your complete records sent to your local Boston allergist. Most local allergists require records before they will make a first appointment with you. • All details of your current allergy treatment should be sent All allergy testsAll serum and extract composition and dosesAll injection sheets with previous injection information Many allergy practices require an order signed by your allergist stating that you are able to receive injections that are recommended for you. 
4. If you plan to use your own serum ,Make sure that your allergy serum vials are labeled with Your nameDate of birthThe exact composition of the allergy extract Expiration date of the serum Many allergists require you to have received a previous injection from the vial(s) that you bring. Your serum vials must have been kept continuously refrigerated. Individual allergy practices may vary in how you may deliver your serum to them. 
5. Inquire about any other requirements and review the local allergy practice website for further information ,"The following allergy clinics and practices are available to serve you. Please click on the individual service for more information.Allergy and InflammationDepartment of MedicineBeth Israel Deaconess Medical CenterOne Brookline PlaceSuite 623Brookline, MA 02445617-632-7706Rheumatology, Immunology and AllergyBrigham and Women’s Hospital75 Francis StreetBoston, MA 02115617-732-9850Please call 1-866-489-4056 to register prior to your first appointment.Dr. Johnson Wong, MD8 Hawthorne PlaceSuite 104Boston, MA 02114617-742-5730Allergy DepartmentHarvard Vanguard / Atrius Health-Kenmore133 Brookline Ave.Boston, MA 02215617-421-1380Allergy DivisionTufts Medical Center800 Washington St.South Building 3rd FloorBoston, MA 02111617-636-5333Boston Food Allergy Center65 Harrison Avenue, Suite 201Boston, MA 02111617-804-6767(allergies and gastrointestinal specialist)"
Smoking Cessation and RTQ,
 				What can I expect if I decide to participate in the Ready To Quit! program?			, 
 				What will my treatment plan include?			,"  Your treatment plan may include nicotine replacement therapy (NRT), such as nicotine patches and gum or lozenge, and/or medications, such as Chantix. More often than not, your clinician may combine two different cessation aids (i.e. two types of NRT) to help you stop smoking and stop smoking tobacco. Studies have shown this strategy is very effective in smoking cessation compared to using just one medication alone. It’s also important to use enough medication and long enough to manage your withdrawal symptoms, desires and urges to help you stop smoking for good. You and your clinician can determine which cessation aids are the best for you.  "
 				How much does it cost to participate in the Ready to Quit! program?			,  Smoking cessation aids are offered free of charge for students enrolled in RTQ.  
 				What supports will my TTS provide?			,"  Students enrolled in RTQ will have weekly follow-up and coaching meetings with a TTS. Students receive supportive, encouraging texts one to three times per week and receive follow-up phone calls at least once a week to provide support to remain tobacco-free. Students also have the option to meet with mental health for concerns regarding smoking cessation if desired.  "
 				Why should I quit smoking?			,  The American Lung Association has a great list of benefits on why quitting is a good idea.  
 				How do I get started?			,  Complete the online assessment form to get started.  
 				How can smoking cessation aids help?			,"  Cessation aids help decrease withdrawal symptoms (i.e. trouble sleeping, mood changes, and trouble concentrating, etc.) from nicotine that is found in tobacco products. Additionally, cessation aids help in reducing desires and urges to smoke and use tobacco. By decreasing withdrawal symptoms, reducing desires and urges allows you to focus on modifying behaviors that may be associated with smoking and tobacco use.  "
 				What are the different types of smoking cessation aids?			,"  Smoking cessation aids such as Nicotine Replacement Therapy (NRT) (contains nicotine) and/or medications that do not contain nicotine may increase your chances of quitting tobacco successfully. To read more about the different types of NRT and medications, please view this PDF.  "
 				What makes smoking and tobacco use so harmful?			,"  When tobacco is burned, for example cigarette smoke, approximately 4,000 (i.e. cyanide, arsenic, lead, etc.) chemicals are released and inhaled into your body. Exposure to these chemicals has been shown to cause various types of cancer (i.e. mouth, throat, lungs, stomach, etc). Although nicotine alone, like that found in cigarettes, has not been shown to cause cancer, many other chemicals in tobacco products do. When you stop smoking or stop using other tobacco products, most chemicals leave your body quickly (hours, days, months), however many may remain for years. Read more about What’s in a Cigarette? by the American Lung Association.  "
 				What are the different types of tobacco products?			,"  Cigarettes, electronic cigarettes, cigars and cigarillos, chewing tobacco, hookahs, and spliffs are the most widely used tobacco products. View this PDF to learn more about these products and their impacts on health.  "
 				What are some other resources I can use to quit smoking?			,"  View this PDF for a list of additional resources, such as helplines, apps, and more.  "
Social Media,   Instagram  
Quick Links,   Contact Us  After Hours Care  Emergencies  OPEN’s Sexual Violence Resource Center  NUSHP  
,
Instructions and Forms(Northeastern Account Required),
Northeastern Student Health Plan (NUSHP),Information on benefits and enrollment
"Prior to approved participation with a Northeastern University athletic team, all athletes must do the following:"," Complete their profile in our medical records system on an annual basis. Undergo a sports physical – This is required for participation and will be conducted by our team of physicians when you arrive for your Pre-Participation Evaluation. Submit evidence of sickle cell testing to be in compliance with NCAA regulations Provide your primary insurance information All pre-participation paperwork is completed and submitted utilizing SportsWare Online. Incoming and transfer athletes will be contacted by Sports Medicine regarding their login information, and returning athlete login information will remain unchanged from the previous year.Please do not e-mail medical records to us. If there is something you would like to provide, upload it into your Sportsware account under ‘Forms’.Click the link ‘Instructions and Forms’ for additional information _________________________________"
If you are under the age of 18 or require a parent/guardian signature:,"Print and complete the Under-18 packet by following the link to Medical Clearance Instructions (Northeastern Account Required)Once the above packet is complete, follow the instructions for uploading them into SportsWare in addition to providing all required information marked with a red asterisk."
"BIPOC, LGBTQ+ & AAPI Resources",
BIPOC,
LGBTQ+,
AAPI ,
BOSTON AREA,"And Still We Rise – specializing in the Mental Health Care of Women, BIPoC, Queer, and Trans Communities.Trust Therapeutics. LLC – female owned and operated Behavioral Health Group Practice that provides mental health and psychiatric services, with a diverse team of practitioners."
NATIONAL RESOURCES,"Clinicians of Color is a directory of clinicians of different racial and ethnic backgrounds as well as training and specialty care. Black Therapists Rock is a collective of black therapists who are committed to healing the pain of generational trauma. This group offers a directory of black therapists by location Bodyful Healing is about creating community, changing the narrative around mental health within black communities, and offering a creative healing option. They offer dance/movement psychotherapy, moving meditations, and online classes.Innopsych –  provides a directory of therapists of color.Inclusive Therapists – offers a directory of culturally affirming therapists.The National Queer and Trans Therapists of Color Network (NQTTCN) is a healing justice organization committed to transforming mental health for queer and trans people of color (QTPoC). Community resources, directory, organization listing and crisis hotlines. Therapy for Black Girls provides “an online space dedicated to encouraging the mental wellness of Black women and girls.” They offer a directory of therapists as well as a virtual space to connect with Black women to support, encourage and learn from one another. This organization also offers a weekly podcast with a focus on mental health and personal development."
BOSTON AREA,
Practices ,"And Still We Rise, Psychotherapy, Consulting, and Life Coaching – specializing in the Mental Health Care of Women, BIPoC, Queer, and Trans Communities. The mission is to create healing spaces for marginalized people by centering the values of community, critical consciousness, and decolonizing mental healthcare.Fenway Health Live Well Therapy Associates – The Meeting Point – provides psychotherapy, group and body work, to communities of people whose needs have been unrecognized and under-served in medical settings. SAYFTEE – is a socially conscious group practice offering a range of services including family therapy, individual therapy, couple/relationship therapy, groups, workshops, training, consultation, and supervision."
Individual Practitioners ,"Ben Kudler, LICSW – specializes in LGBTQ+, sexuality, open/poly/non-monogamous relationship, kink. Insurance: out of network. Glenn Klein, LMHC – LGBTQ+, sexuality, open/poly/non-monogamous relationships, couples, kinkInsurance: BCBS, Tufts, out of networkAmy Santana, LMHC – Specializes in relationship issues, trauma and DV/sexual violence in the LGBTQ+ populations of color specifically. She identifies as cisgender Afro-Hispanic woman. She would like to avoid working with people who identify as Caucasian if possible. She often is full but will assist people in finding other referrals if she can and is always responsive. Insurance: BCBS, Cigna."
NATIONAL RESOURCES,"The National Queer and Trans Therapists of Color Network (NQTTCN) is a healing justice organization committed to transforming mental health for queer and trans people of color (QTPoC). Community resources, directory, organization listing and crisis hotlines.  Therapy for Black Girls provides “an online space dedicated to encouraging the mental wellness of Black women and girls.” They offer a directory of therapists as well as a virtual space to connect with Black women to support, encourage and learn from one another. This organization also offers a weekly podcast with a focus on mental health and personal development.The Trevor Project – provides crisis intervention and suicide prevention services to lesbian, gay, bisexual, transgender, queer and questioning (LGBTA) young people under 25. Text START to 678-678 to access free counseling via chat. "
BOSTON AREA ,"Asian Task Force Against Domestic Violence – provides links between domesitc violence survivors and critical resources. Massachusetts Asian and Pacific Islanders for Health – LGBTQ+ AAPI support servicesThe MGH Center for Cross-Cultural Emotional Wellness – support for students of different cultural backgrounds South Cove Community Service -largest Asian primary care provider organization in Boston, also offers mental health services. Tufts Medical Center Asisan Clinic Programs – "
NATIONAL RESOURCES,Asian Mental Health Collective – mental health services by stateNational Asian American Pacific Islander Mental Health Association – mental health services in all 50 statesSouth Asian Therapists.org  mental health support throughout the US
Social Media,   Instagram  
Quick Links,   Contact Us  After Hours Care  Emergencies  OPEN’s Sexual Violence Resource Center  NUSHP  
COVID-19,
